#RES	SS	RSA	COV	nBFP	rBFP	RSQ_L	RSQ_S
1	1	1	0.62	2.14	43.17	35.82	33.50
2	1	1	0.64	1.58	38.44	33.86	31.73
3	1	1	0.73	1.09	34.30	33.54	31.17
4	1	1	0.68	0.78	31.75	36.68	34.25
5	1	1	0.78	0.61	30.34	35.12	32.73
6	1	1	0.81	0.42	28.68	36.65	33.99
7	1	1	0.90	0.28	27.56	37.18	34.71
8	1	0	0.93	0.08	25.84	37.61	35.10
9	1	1	0.88	0.14	26.39	33.88	31.53
10	1	1	0.88	0.08	25.84	30.22	28.17
11	1	0	0.88	-0.01	25.08	26.59	25.00
12	1	1	0.90	0.14	26.39	22.91	21.30
13	1	1	0.91	0.18	26.71	16.89	15.92
14	1	1	0.90	0.06	25.66	13.27	12.73
15	1	0	0.89	0.02	25.33	11.87	11.34
16	1	1	0.88	0.10	26.06	14.01	13.25
17	4	1	0.96	0.04	25.52	17.28	16.39
18	4	0	0.90	-0.26	23.02	15.70	14.72
19	4	1	0.90	-0.26	22.98	16.65	15.77
20	4	0	0.89	-0.18	23.65	18.58	17.47
21	1	1	0.91	0.15	26.43	19.30	18.12
22	1	1	0.91	0.35	28.16	24.78	23.26
23	1	1	0.80	0.31	27.75	13.43	12.76
24	1	1	0.82	0.38	28.38	15.93	15.17
25	1	1	0.69	0.22	27.05	23.24	21.94
26	4	0	0.72	-0.01	25.15	22.88	21.63
27	4	1	0.71	-0.04	24.85	21.00	19.97
28	4	1	0.74	-0.07	24.60	17.52	16.60
29	4	1	0.78	-0.06	24.64	14.78	14.06
30	2	1	0.74	-0.13	24.14	9.24	8.67
31	2	1	0.80	-0.14	24.05	9.28	8.87
32	2	1	0.79	-0.15	23.92	10.07	9.61
33	2	1	0.79	-0.07	24.59	6.18	6.11
34	2	0	0.71	-0.27	22.89	6.95	6.71
35	2	0	0.68	-0.30	22.69	11.19	10.56
36	2	1	0.69	-0.10	24.38	13.44	12.79
37	2	1	0.70	-0.01	25.11	12.75	12.25
38	2	1	0.72	-0.13	24.06	15.41	14.43
39	2	0	0.70	-0.32	22.53	17.28	16.54
40	2	1	0.72	-0.17	23.76	18.70	17.68
41	2	1	0.70	-0.29	22.74	18.72	17.91
42	2	0	0.65	-0.35	22.21	18.29	17.66
43	2	0	0.57	-0.34	22.30	16.31	15.80
44	2	1	0.72	-0.18	23.69	26.95	25.57
45	2	1	0.75	-0.08	24.53	29.50	27.87
46	2	0	0.68	-0.20	23.55	17.61	16.97
47	2	1	0.73	0.07	25.74	18.29	17.62
